"codanum","ioi_i","ioi"
"DSWP2755","6",0.041
"DSWP2755","7",0.057
"DSWP2755","8",0.062
"DSWP2757","1",0.259
"DSWP2757","2",0.145
"DSWP2757","3",0.153
"DSWP2758","1",0.043
"DSWP2758","2",0.053
"DSWP2758","3",0.071
"DSWP2759","1",0.028
"DSWP2759","2",0.031
"DSWP2759","3",0.068
"DSWP2760","1",0.399
"DSWP2760","2",0.357
"DSWP2760","3",0.176
"DSWP2760","4",0.18
"DSWP2761","1",0.175
"DSWP2761","2",0.184
"DSWP2761","3",0.155
"DSWP2761","4",0.145
"DSWP2762","1",0.277
"DSWP2762","2",0.255
"DSWP2762","3",0.158
"DSWP2762","4",0.167
"DSWP2763","1",0.283
"DSWP2763","2",0.25
"DSWP2763","3",0.161
"DSWP2763","4",0.148
"DSWP2764","1",0.269
"DSWP2764","2",0.24
"DSWP2764","3",0.166
"DSWP2764","4",0.157
"DSWP2765","1",0.262
"DSWP2765","2",0.235
"DSWP2765","3",0.157
"DSWP2765","4",0.151
"DSWP2766","1",0.261
"DSWP2766","2",0.244
"DSWP2766","3",0.155
"DSWP2766","4",0.163
"DSWP2767","1",0.35
"DSWP2767","2",0.333
"DSWP2767","3",0.176
"DSWP2767","4",0.179
"DSWP2768","1",0.263
"DSWP2768","2",0.311
"DSWP2768","3",0.168
"DSWP2768","4",0.179
"DSWP2769","1",0.323
"DSWP2769","2",0.319
"DSWP2769","3",0.17
"DSWP2769","4",0.164
"DSWP2770","1",0.043
"DSWP2770","2",0.055
"DSWP2770","3",0.065
"DSWP2770","4",0.045
"DSWP2771","1",0.047
"DSWP2771","2",0.055
"DSWP2771","3",0.065
"DSWP2771","4",0.082
"DSWP2772","1",0.048
"DSWP2772","2",0.053
"DSWP2772","3",0.062
"DSWP2772","4",0.072
"DSWP2773","1",0.263
"DSWP2773","2",0.259
"DSWP2773","3",0.158
"DSWP2773","4",0.144
"DSWP2774","1",0.25
"DSWP2774","2",0.267
"DSWP2774","3",0.163
"DSWP2774","4",0.147
"DSWP2775","1",0.223
"DSWP2775","2",0.248
"DSWP2775","3",0.166
"DSWP2775","4",0.135
"DSWP2776","1",0.207
"DSWP2776","2",0.252
"DSWP2776","3",0.163
"DSWP2776","4",0.135
"DSWP2777","1",0.244
"DSWP2777","2",0.25
"DSWP2777","3",0.167
"DSWP2777","4",0.156
"DSWP2778","1",0.274
"DSWP2778","2",0.23
"DSWP2778","3",0.169
"DSWP2778","4",0.156
"DSWP2779","1",0.36
"DSWP2779","2",0.379
"DSWP2779","3",0.153
"DSWP2779","4",0.16
"DSWP2780","1",0.374
"DSWP2780","2",0.39
"DSWP2780","3",0.184
"DSWP2780","4",0.178
"DSWP2781","1",0.427
"DSWP2781","2",0.394
"DSWP2781","3",0.2
"DSWP2781","4",0.204
"DSWP2782","1",0.442
"DSWP2782","2",0.41
"DSWP2782","3",0.218
"DSWP2782","4",0.211
"DSWP2783","1",0.413
"DSWP2783","2",0.419
"DSWP2783","3",0.197
"DSWP2783","4",0.207
"DSWP2784","1",0.411
"DSWP2784","2",0.398
"DSWP2784","3",0.179
"DSWP2784","4",0.202
"DSWP2785","1",0.41
"DSWP2785","2",0.402
"DSWP2785","3",0.187
"DSWP2785","4",0.191
"DSWP2786","1",0.368
"DSWP2786","2",0.358
"DSWP2786","3",0.196
"DSWP2786","4",0.153
"DSWP2787","1",0.346
"DSWP2787","2",0.311
"DSWP2787","3",0.201
"DSWP2787","4",0.148
"DSWP2788","1",0.331
"DSWP2788","2",0.329
"DSWP2788","3",0.177
"DSWP2788","4",0.136
"DSWP2789","1",0.325
"DSWP2789","2",0.323
"DSWP2789","3",0.179
"DSWP2789","4",0.156
"DSWP2790","1",0.287
"DSWP2790","2",0.311
"DSWP2790","3",0.178
"DSWP2790","4",0.144
"DSWP2791","1",0.267
"DSWP2791","2",0.281
"DSWP2791","3",0.192
"DSWP2791","4",0.146
"DSWP2792","1",0.276
"DSWP2792","2",0.289
"DSWP2792","3",0.188
"DSWP2792","4",0.145
"DSWP2793","1",0.271
"DSWP2793","2",0.285
"DSWP2793","3",0.19
"DSWP2793","4",0.145
"DSWP2794","1",0.272
"DSWP2794","2",0.299
"DSWP2794","3",0.2
"DSWP2794","4",0.147
"DSWP2795","1",0.25
"DSWP2795","2",0.23
"DSWP2795","3",0.169
"DSWP2795","4",0.125
"DSWP2796","1",0.209
"DSWP2796","2",0.205
"DSWP2796","3",0.14
"DSWP2796","4",0.142
"DSWP2797","1",0.219
"DSWP2797","2",0.204
"DSWP2797","3",0.152
"DSWP2797","4",0.145
"DSWP2798","1",0.239
"DSWP2798","2",0.227
"DSWP2798","3",0.146
"DSWP2798","4",0.15
"DSWP2799","1",0.351
"DSWP2799","2",0.344
"DSWP2799","3",0.213
"DSWP2799","4",0.167
"DSWP2800","1",0.34
"DSWP2800","2",0.312
"DSWP2800","3",0.202
"DSWP2800","4",0.168
"DSWP2801","1",0.324
"DSWP2801","2",0.266
"DSWP2801","3",0.196
"DSWP2801","4",0.145
"DSWP2802","1",0.435
"DSWP2802","2",0.415
"DSWP2802","3",0.201
"DSWP2802","4",0.226
"DSWP2803","1",0.343
"DSWP2803","2",0.302
"DSWP2803","3",0.188
"DSWP2803","4",0.17
"DSWP2804","1",0.232
"DSWP2804","2",0.176
"DSWP2804","3",0.137
"DSWP2804","4",0.134
"DSWP2805","1",0.32
"DSWP2805","2",0.253
"DSWP2805","3",0.161
"DSWP2805","4",0.146
"DSWP2806","1",0.407
"DSWP2806","2",0.39
"DSWP2806","3",0.178
"DSWP2806","4",0.171
"DSWP2807","1",0.403
"DSWP2807","2",0.363
"DSWP2807","3",0.22
"DSWP2807","4",0.162
"DSWP2808","1",0.422
"DSWP2808","2",0.342
"DSWP2808","3",0.244
"DSWP2808","4",0.166
"DSWP2809","1",0.38
"DSWP2809","2",0.401
"DSWP2809","3",0.202
"DSWP2809","4",0.162
"DSWP2810","1",0.364
"DSWP2810","2",0.377
"DSWP2810","3",0.229
"DSWP2810","4",0.174
"DSWP2811","1",0.357
"DSWP2811","2",0.337
"DSWP2811","3",0.207
"DSWP2811","4",0.179
"DSWP2812","1",0.146
"DSWP2812","2",0.111
"DSWP2812","3",0.141
"DSWP2812","4",0.297
"DSWP2813","1",0.284
"DSWP2813","2",0.249
"DSWP2813","3",0.182
"DSWP2813","4",0.153
"DSWP2814","1",0.204
"DSWP2814","2",0.247
"DSWP2814","3",0.164
"DSWP2814","4",0.123
"DSWP2815","1",0.27
"DSWP2815","2",0.242
"DSWP2815","3",0.175
"DSWP2815","4",0.142
"DSWP2816","1",0.275
"DSWP2816","2",0.223
"DSWP2816","3",0.168
"DSWP2816","4",0.137
"DSWP2817","1",0.236
"DSWP2817","2",0.28
"DSWP2817","3",0.152
"DSWP2817","4",0.161
"DSWP2818","1",0.259
"DSWP2818","2",0.227
"DSWP2818","3",0.173
"DSWP2818","4",0.147
"DSWP2819","1",0.378
"DSWP2819","2",0.335
"DSWP2819","3",0.187
"DSWP2819","4",0.169
"DSWP2820","1",0.32
"DSWP2820","2",0.307
"DSWP2820","3",0.167
"DSWP2820","4",0.16
"DSWP2821","1",0.349
"DSWP2821","2",0.319
"DSWP2821","3",0.159
"DSWP2821","4",0.15
"DSWP2822","1",0.369
"DSWP2822","2",0.36
"DSWP2822","3",0.149
"DSWP2822","4",0.145
"DSWP2823","1",0.38
"DSWP2823","2",0.328
"DSWP2823","3",0.17
"DSWP2823","4",0.154
"DSWP2824","1",0.373
"DSWP2824","2",0.332
"DSWP2824","3",0.154
"DSWP2824","4",0.149
"DSWP2825","1",0.369
"DSWP2825","2",0.361
"DSWP2825","3",0.162
"DSWP2825","4",0.14
"DSWP2826","1",0.055
"DSWP2826","2",0.123
"DSWP2826","3",0.119
"DSWP2826","4",0.115
"DSWP2827","1",0.249
"DSWP2827","2",0.264
"DSWP2827","3",0.186
"DSWP2827","4",0.121
"DSWP2828","1",0.226
"DSWP2828","2",0.215
"DSWP2828","3",0.203
"DSWP2828","4",0.135
"DSWP2829","1",0.278
"DSWP2829","2",0.264
"DSWP2829","3",0.166
"DSWP2829","4",0.163
"DSWP2830","1",0.37
"DSWP2830","2",0.352
"DSWP2830","3",0.166
"DSWP2830","4",0.172
"DSWP2831","1",0.381
"DSWP2831","2",0.342
"DSWP2831","3",0.161
"DSWP2831","4",0.169
"DSWP2832","1",0.374
"DSWP2832","2",0.361
"DSWP2832","3",0.158
"DSWP2832","4",0.17
"DSWP2833","1",0.376
"DSWP2833","2",0.362
"DSWP2833","3",0.169
"DSWP2833","4",0.182
"DSWP2834","1",0.388
"DSWP2834","2",0.368
"DSWP2834","3",0.164
"DSWP2834","4",0.183
"DSWP2835","1",0.426
"DSWP2835","2",0.387
"DSWP2835","3",0.214
"DSWP2835","4",0.189
"DSWP2836","1",0.422
"DSWP2836","2",0.389
"DSWP2836","3",0.177
"DSWP2836","4",0.144
"DSWP2837","1",0.417
"DSWP2837","2",0.34
"DSWP2837","3",0.205
"DSWP2837","4",0.19
"DSWP2838","1",0.429
"DSWP2838","2",0.394
"DSWP2838","3",0.166
"DSWP2838","4",0.172
"DSWP2839","1",0.368
"DSWP2839","2",0.419
"DSWP2839","3",0.173
"DSWP2839","4",0.18
"DSWP2840","1",0.421
"DSWP2840","2",0.397
"DSWP2840","3",0.222
"DSWP2840","4",0.186
"DSWP2841","1",0.452
"DSWP2841","2",0.426
"DSWP2841","3",0.215
"DSWP2841","4",0.19
"DSWP2842","1",0.263
"DSWP2842","2",0.292
"DSWP2842","3",0.169
"DSWP2842","4",0.16
"DSWP2843","1",0.255
"DSWP2843","2",0.299
"DSWP2843","3",0.149
"DSWP2843","4",0.134
"DSWP2844","1",0.24
"DSWP2844","2",0.248
"DSWP2844","3",0.171
"DSWP2844","4",0.145
"DSWP2845","1",0.246
"DSWP2845","2",0.253
"DSWP2845","3",0.168
"DSWP2845","4",0.149
"DSWP2846","1",0.24
"DSWP2846","2",0.244
"DSWP2846","3",0.165
"DSWP2846","4",0.154
"DSWP2847","1",0.353
"DSWP2847","2",0.326
"DSWP2847","3",0.146
"DSWP2847","4",0.155
"DSWP2848","1",0.344
"DSWP2848","2",0.325
"DSWP2848","3",0.185
"DSWP2848","4",0.141
"DSWP2849","1",0.423
"DSWP2849","2",0.404
"DSWP2849","3",0.186
"DSWP2849","4",0.196
"DSWP2850","1",0.436
"DSWP2850","2",0.401
"DSWP2850","3",0.185
"DSWP2850","4",0.203
"DSWP2851","1",0.441
"DSWP2851","2",0.413
"DSWP2851","3",0.211
"DSWP2851","4",0.208
"DSWP2852","1",0.435
"DSWP2852","2",0.424
"DSWP2852","3",0.219
"DSWP2852","4",0.205
"DSWP2853","1",0.36
"DSWP2853","2",0.348
"DSWP2853","3",0.184
"DSWP2853","4",0.177
"DSWP2854","1",0.272
"DSWP2854","2",0.24
"DSWP2854","3",0.149
"DSWP2854","4",0.152
"DSWP2855","1",0.291
"DSWP2855","2",0.26
"DSWP2855","3",0.151
"DSWP2855","4",0.164
"DSWP2856","1",0.324
"DSWP2856","2",0.302
"DSWP2856","3",0.205
"DSWP2856","4",0.163
"DSWP2857","1",0.395
"DSWP2857","2",0.358
"DSWP2857","3",0.153
"DSWP2857","4",0.185
"DSWP2858","1",0.38
"DSWP2858","2",0.361
"DSWP2858","3",0.172
"DSWP2858","4",0.178
"DSWP2859","1",0.204
"DSWP2859","2",0.219
"DSWP2859","3",0.143
"DSWP2859","4",0.145
"DSWP2860","1",0.219
"DSWP2860","2",0.27
"DSWP2860","3",0.177
"DSWP2860","4",0.124
"DSWP2861","1",0.364
"DSWP2861","2",0.245
"DSWP2861","3",0.191
"DSWP2861","4",0.18
"DSWP2862","1",0.421
"DSWP2862","2",0.367
"DSWP2862","3",0.178
"DSWP2862","4",0.197
"DSWP2863","1",0.421
"DSWP2863","2",0.376
"DSWP2863","3",0.186
"DSWP2863","4",0.201
"DSWP2864","1",0.116
"DSWP2864","2",0.126
"DSWP2864","3",0.125
"DSWP2864","4",0.135
"DSWP2865","1",0.117
"DSWP2865","2",0.132
"DSWP2865","3",0.115
"DSWP2865","4",0.133
"DSWP2866","1",0.381
"DSWP2866","2",0.361
"DSWP2866","3",0.139
"DSWP2866","4",0.159
"DSWP2867","1",0.413
"DSWP2867","2",0.349
"DSWP2867","3",0.154
"DSWP2867","4",0.163
"DSWP2868","1",0.41
"DSWP2868","2",0.358
"DSWP2868","3",0.142
"DSWP2868","4",0.159
"DSWP2869","1",0.4
"DSWP2869","2",0.349
"DSWP2869","3",0.141
"DSWP2869","4",0.149
"DSWP2870","1",0.421
"DSWP2870","2",0.347
"DSWP2870","3",0.168
"DSWP2870","4",0.163
"DSWP2871","1",0.417
"DSWP2871","2",0.356
"DSWP2871","3",0.199
"DSWP2871","4",0.161
"DSWP2872","1",0.402
"DSWP2872","2",0.39
"DSWP2872","3",0.196
"DSWP2872","4",0.178
"DSWP2873","1",0.297
"DSWP2873","2",0.291
"DSWP2873","3",0.163
"DSWP2873","4",0.147
"DSWP2874","1",0.272
"DSWP2874","2",0.272
"DSWP2874","3",0.187
"DSWP2874","4",0.152
"DSWP2875","1",0.356
"DSWP2875","2",0.35
"DSWP2875","3",0.179
"DSWP2875","4",0.19
"DSWP2876","1",0.304
"DSWP2876","2",0.327
"DSWP2876","3",0.161
"DSWP2876","4",0.168
"DSWP2877","1",0.391
"DSWP2877","2",0.364
"DSWP2877","3",0.183
"DSWP2877","4",0.175
"DSWP2878","1",0.408
"DSWP2878","2",0.39
"DSWP2878","3",0.219
"DSWP2878","4",0.173
"DSWP2879","1",0.411
"DSWP2879","2",0.398
"DSWP2879","3",0.139
"DSWP2879","4",0.18
"DSWP2880","1",0.412
"DSWP2880","2",0.396
"DSWP2880","3",0.159
"DSWP2880","4",0.178
"DSWP2881","1",0.043
"DSWP2881","2",0.046
"DSWP2881","3",0.05
"DSWP2881","4",0.056
"DSWP2881","5",0.067
"DSWP2882","1",0.027
"DSWP2882","2",0.029
"DSWP2882","3",0.033
"DSWP2882","4",0.049
"DSWP2882","5",0.05
"DSWP2883","1",0.256
"DSWP2883","2",0.247
"DSWP2883","3",0.153
"DSWP2883","4",0.124
"DSWP2883","5",0.155
"DSWP2884","1",0.237
"DSWP2884","2",0.242
"DSWP2884","3",0.199
"DSWP2884","4",0.133
"DSWP2884","5",0.211
"DSWP2885","1",0.378
"DSWP2885","2",0.292
"DSWP2885","3",0.15
"DSWP2885","4",0.101
"DSWP2885","5",0.11
"DSWP2886","1",0.338
"DSWP2886","2",0.265
"DSWP2886","3",0.203
"DSWP2886","4",0.125
"DSWP2886","5",0.176
"DSWP2887","1",0.165
"DSWP2887","2",0.073
"DSWP2887","3",0.078
"DSWP2887","4",0.079
"DSWP2887","5",0.087
"DSWP2887","6",0.112
"DSWP2888","1",0.142
"DSWP2888","2",0.095
"DSWP2888","3",0.087
"DSWP2888","4",0.07
"DSWP2888","5",0.064
"DSWP2888","6",0.063
"DSWP2889","1",0.034
"DSWP2889","2",0.035
"DSWP2889","3",0.045
"DSWP2889","4",0.059
"DSWP2889","5",0.063
"DSWP2889","6",0.085
"DSWP2890","1",0.049
"DSWP2890","2",0.059
"DSWP2890","3",0.065
"DSWP2890","4",0.069
"DSWP2890","5",0.076
"DSWP2890","6",0.185
"DSWP2891","1",0.24
"DSWP2891","2",0.234
"DSWP2891","3",0.154
"DSWP2891","4",0.123
"DSWP2891","5",0.114
"DSWP2891","6",0.133
"DSWP2892","1",0.095
"DSWP2892","2",0.078
"DSWP2892","3",0.079
"DSWP2892","4",0.091
"DSWP2892","5",0.102
"DSWP2892","6",0.142
"DSWP2893","1",0.154
"DSWP2893","2",0.1
"DSWP2893","3",0.087
"DSWP2893","4",0.088
"DSWP2893","5",0.088
"DSWP2893","6",0.119
"DSWP2894","1",0.132
"DSWP2894","2",0.094
"DSWP2894","3",0.076
"DSWP2894","4",0.075
"DSWP2894","5",0.089
"DSWP2894","6",0.111
"DSWP2895","1",0.264
"DSWP2895","2",0.221
"DSWP2895","3",0.141
"DSWP2895","4",0.125
"DSWP2895","5",0.114
"DSWP2895","6",0.131
"DSWP2896","1",0.386
"DSWP2896","2",0.321
"DSWP2896","3",0.162
"DSWP2896","4",0.135
"DSWP2896","5",0.121
"DSWP2896","6",0.133
"DSWP2897","1",0.269
"DSWP2897","2",0.216
"DSWP2897","3",0.143
"DSWP2897","4",0.113
"DSWP2897","5",0.11
"DSWP2897","6",0.125
"DSWP2897","7",0.247
"DSWP2898","1",0.161
"DSWP2898","2",0.091
"DSWP2898","3",0.079
"DSWP2898","4",0.078
"DSWP2898","5",0.083
"DSWP2898","6",0.089
"DSWP2898","7",0.118
"DSWP2899","1",0.428
"DSWP2899","2",0.391
"DSWP2899","3",0.168
"DSWP2899","4",0.143
"DSWP2899","5",0.124
"DSWP2899","6",0.141
"DSWP2899","7",0.155
"DSWP2900","1",0.118
"DSWP2900","2",0.078
"DSWP2900","3",0.115
"DSWP2900","4",0.067
"DSWP2900","5",0.063
"DSWP2900","6",0.099
"DSWP2900","7",0.1
"DSWP2900","8",0.128
"DSWP2901","1",0.107
"DSWP2901","2",0.078
"DSWP2901","3",0.07
"DSWP2901","4",0.073
"DSWP2901","5",0.076
"DSWP2901","6",0.083
"DSWP2901","7",0.095
"DSWP2901","8",0.114
"DSWP2902","1",0.297
"DSWP2902","2",0.264
"DSWP2902","3",0.157
"DSWP2902","4",0.161
"DSWP2903","1",0.461
"DSWP2903","2",0.348
"DSWP2903","3",0.188
"DSWP2903","4",0.186
"DSWP2904","1",0.118
"DSWP2904","2",0.116
"DSWP2904","3",0.115
"DSWP2904","4",0.128
"DSWP2905","1",0.121
"DSWP2905","2",0.142
"DSWP2905","3",0.132
"DSWP2905","4",0.129
"DSWP2906","1",0.393
"DSWP2906","2",0.363
"DSWP2906","3",0.153
"DSWP2906","4",0.162
"DSWP2907","1",0.261
"DSWP2907","2",0.259
"DSWP2907","3",0.169
"DSWP2907","4",0.142
"DSWP2908","1",0.453
"DSWP2908","2",0.373
"DSWP2908","3",0.187
"DSWP2908","4",0.205
"DSWP2909","1",0.446
"DSWP2909","2",0.367
"DSWP2909","3",0.195
"DSWP2909","4",0.155
"DSWP2910","1",0.221
"DSWP2910","2",0.231
"DSWP2910","3",0.226
"DSWP2910","4",0.134
"DSWP2910","5",0.145
"DSWP2911","1",0.131
"DSWP2911","2",0.083
"DSWP2911","3",0.068
"DSWP2911","4",0.048
"DSWP2912","1",0.284
"DSWP2912","2",0.229
"DSWP2912","3",0.268
"DSWP2912","4",0.2
"DSWP2913","1",0.317
"DSWP2913","2",0.319
"DSWP2913","3",0.192
"DSWP2913","4",0.141
"DSWP2914","1",0.318
"DSWP2914","2",0.327
"DSWP2914","3",0.195
"DSWP2914","4",0.147
"DSWP2915","1",0.119
"DSWP2915","2",0.082
"DSWP2915","3",0.073
"DSWP2915","4",0.066
"DSWP2916","1",0.112
"DSWP2916","2",0.086
"DSWP2916","3",0.079
"DSWP2916","4",0.068
"DSWP2917","1",0.117
"DSWP2917","2",0.101
"DSWP2917","3",0.078
"DSWP2917","4",0.062
"DSWP2918","1",0.323
"DSWP2918","2",0.31
"DSWP2918","3",0.199
"DSWP2918","4",0.16
"DSWP2919","1",0.347
"DSWP2919","2",0.358
"DSWP2919","3",0.206
"DSWP2919","4",0.158
"DSWP2920","1",0.347
"DSWP2920","2",0.35
"DSWP2920","3",0.214
"DSWP2920","4",0.167
"DSWP2921","1",0.313
"DSWP2921","2",0.38
"DSWP2921","3",0.163
"DSWP2921","4",0.151
"DSWP2922","1",0.332
"DSWP2922","2",0.34
"DSWP2922","3",0.206
"DSWP2922","4",0.156
"DSWP2923","1",0.111
"DSWP2923","2",0.104
"DSWP2923","3",0.071
"DSWP2923","4",0.08
"DSWP2923","5",0.058
"DSWP2924","1",0.282
"DSWP2924","2",0.187
"DSWP2924","3",0.148
"DSWP2924","4",0.142
"DSWP2924","5",0.122
"DSWP2924","6",0.12
"DSWP2925","1",0.276
"DSWP2925","2",0.217
"DSWP2925","3",0.149
"DSWP2925","4",0.128
"DSWP2925","5",0.124
"DSWP2925","6",0.125
"DSWP4117","1",0.3179
"DSWP4117","2",0.3074
"DSWP4117","3",0.303
"DSWP4117","4",0.3215
"DSWP4118","1",0.3109
"DSWP4118","2",0.2993
"DSWP4118","3",0.3012
"DSWP4118","4",0.3118
"DSWP4119","1",0.2814
"DSWP4119","2",0.2878
"DSWP4119","3",0.2947
"DSWP4119","4",0.2946
"DSWP4120","1",0.2687
"DSWP4120","2",0.2769
"DSWP4120","3",0.2746
"DSWP4120","4",0.2773
"DSWP4121","1",0.2585
"DSWP4121","2",0.251
"DSWP4121","3",0.2493
"DSWP4121","4",0.2776
"DSWP4122","1",0.2527
"DSWP4122","2",0.2433
"DSWP4122","3",0.2492
"DSWP4122","4",0.2651
"DSWP4123","1",0.2614
"DSWP4123","2",0.2552
"DSWP4123","3",0.2571
"DSWP4123","4",0.2505
"DSWP4124","1",0.4963
"DSWP4124","2",0.2538
"DSWP4124","3",0.2579
"DSWP4125","1",0.2489
"DSWP4125","2",0.2344
"DSWP4125","3",0.2388
"DSWP4125","4",0.2567
"DSWP4126","1",0.2569
"DSWP4126","2",0.241
"DSWP4126","3",0.2375
"DSWP4126","4",0.2494
"DSWP4127","1",0.2452
"DSWP4127","2",0.2553
"DSWP4127","3",0.241
"DSWP4127","4",0.2671
"DSWP4128","1",0.2414
"DSWP4128","2",0.2524
"DSWP4128","3",0.2506
"DSWP4128","4",0.2664
"DSWP4129","1",0.2767
"DSWP4129","2",0.2342
"DSWP4129","3",0.2347
"DSWP4129","4",0.2588
"DSWP4129","5",0.2687
"DSWP4130","1",0.0773
"DSWP4130","2",0.0835
"DSWP4130","3",0.0911
"DSWP4130","4",0.1149
"DSWP4130","5",0.2113
"DSWP4131","1",0.3146
"DSWP4131","2",0.3339
"DSWP4131","3",0.3197
"DSWP4131","4",0.357
"DSWP4132","1",0.3267
"DSWP4132","2",0.3213
"DSWP4132","3",0.3304
"DSWP4132","4",0.3389
"DSWP4133","1",0.199
"DSWP4133","2",0.179
"DSWP4133","3",0.1779
"DSWP4133","4",0.1911
"DSWP4133","5",0.1922
"DSWP4133","6",0.1862
"DSWP4133","7",0.1881
"DSWP4133","8",0.2172
"DSWP4134","1",0.339
"DSWP4134","2",0.3341
"DSWP4134","3",0.3369
"DSWP4134","4",0.3286
"DSWP4135","1",0.3422
"DSWP4135","2",0.3324
"DSWP4135","3",0.3318
"DSWP4135","4",0.3384
"DSWP4136","1",0.3284
"DSWP4136","2",0.3256
"DSWP4136","3",0.3399
"DSWP4136","4",0.3339
"DSWP4137","1",0.345
"DSWP4137","2",0.3366
"DSWP4137","3",0.3246
"DSWP4137","4",0.3383
"DSWP4138","1",0.3358
"DSWP4138","2",0.3216
"DSWP4138","3",0.3319
"DSWP4138","4",0.3371
"DSWP4139","1",0.3316
"DSWP4139","2",0.3352
"DSWP4139","3",0.3353
"DSWP4139","4",0.3387
"DSWP4140","1",0.3377
"DSWP4140","2",0.3282
"DSWP4140","3",0.3375
"DSWP4140","4",0.3376
"DSWP4141","1",0.332
"DSWP4141","2",0.3274
"DSWP4141","3",0.3423
"DSWP4141","4",0.3371
"DSWP4142","1",0.3374
"DSWP4142","2",0.329
"DSWP4142","3",0.328
"DSWP4142","4",0.3186
"DSWP4142","5",0.374
"DSWP4142","6",0.3096
"DSWP4143","1",0.3251
"DSWP4143","2",0.3041
"DSWP4143","3",0.2998
"DSWP4143","4",0.3117
"DSWP4143","5",0.3279
"DSWP4143","6",0.2699
"DSWP4144","1",0.3209
"DSWP4144","2",0.29
"DSWP4144","3",0.3244
"DSWP4144","4",0.3121
"DSWP4144","5",0.3462
"DSWP4145","1",0.3005
"DSWP4145","2",0.2934
"DSWP4145","3",0.2843
"DSWP4145","4",0.3006
"DSWP4145","5",0.2862
"DSWP4145","6",0.3092
"DSWP4146","1",0.3081
"DSWP4146","2",0.2645
"DSWP4146","3",0.2836
"DSWP4146","4",0.256
"DSWP4146","5",0.286
"DSWP4147","1",0.2627
"DSWP4147","2",0.2504
"DSWP4147","3",0.2317
"DSWP4147","4",0.2267
"DSWP4147","5",0.2436
"DSWP4147","6",0.2203
"DSWP4147","7",0.237
"DSWP4147","8",0.2445
"DSWP4148","1",0.2797
"DSWP4148","2",0.2815
"DSWP4148","3",0.2816
"DSWP4148","4",0.2823
"DSWP4149","1",0.2735
"DSWP4149","2",0.2612
"DSWP4149","3",0.2652
"DSWP4149","4",0.2537
"DSWP4150","1",0.2931
"DSWP4150","2",0.2736
"DSWP4150","3",0.2922
"DSWP4150","4",0.2944
"DSWP4151","1",0.2795
"DSWP4151","2",0.2611
"DSWP4151","3",0.2819
"DSWP4151","4",0.2867
"DSWP4152","1",0.2761
"DSWP4152","2",0.2914
"DSWP4152","3",0.2616
"DSWP4152","4",0.2639
"DSWP4152","5",0.2678
"DSWP4153","1",0.2703
"DSWP4153","2",0.2505
"DSWP4153","3",0.2511
"DSWP4153","4",0.2578
"DSWP4153","5",0.2434
"DSWP4153","6",0.2672
"DSWP4154","1",0.3083
"DSWP4154","2",0.3108
"DSWP4154","3",0.2649
"DSWP4154","4",0.3461
"DSWP4155","1",0.3049
"DSWP4155","2",0.2806
"DSWP4155","3",0.2923
"DSWP4155","4",0.3206
"DSWP4157","1",0.2955
"DSWP4157","2",0.2541
"DSWP4157","3",0.3181
"DSWP4157","4",0.2963
"DSWP4157","5",0.3356
"DSWP4157","6",0.3137
"DSWP4158","1",0.3234
"DSWP4158","2",0.3145
"DSWP4158","3",0.3278
"DSWP4158","4",0.3157
"DSWP4159","1",0.2742
"DSWP4159","2",0.2801
"DSWP4159","3",0.2794
"DSWP4159","4",0.2928
"DSWP4160","1",0.3323
"DSWP4160","2",0.3214
"DSWP4160","3",0.3325
"DSWP4160","4",0.317
"DSWP4161","1",0.2682
"DSWP4161","2",0.2821
"DSWP4161","3",0.2866
"DSWP4161","4",0.2842
"DSWP4162","1",0.3302
"DSWP4162","2",0.3326
"DSWP4162","3",0.325
"DSWP4162","4",0.3272
"DSWP4163","1",0.3326
"DSWP4163","2",0.3229
"DSWP4163","3",0.3355
"DSWP4163","4",0.3223
"DSWP4164","1",0.2709
"DSWP4164","2",0.2857
"DSWP4164","3",0.2986
"DSWP4164","4",0.3032
"DSWP4165","1",0.3421
"DSWP4165","2",0.3177
"DSWP4165","3",0.3375
"DSWP4165","4",0.3273
"DSWP4166","1",0.2589
"DSWP4166","2",0.2805
"DSWP4166","3",0.2883
"DSWP4166","4",0.275
"DSWP4167","1",0.2579
"DSWP4167","2",0.2815
"DSWP4167","3",0.2637
"DSWP4167","4",0.276
"DSWP4168","1",0.3645
"DSWP4168","2",0.3527
"DSWP4168","3",0.3619
"DSWP4168","4",0.3469
"DSWP4168","5",0.3434
"DSWP4168","6",0.3398
"DSWP4170","1",0.2891
"DSWP4170","2",0.2872
"DSWP4170","3",0.2777
"DSWP4170","4",0.2465
"DSWP4171","1",0.2076
"DSWP4171","2",0.1932
"DSWP4171","3",0.1863
"DSWP4171","4",0.1894
"DSWP4171","5",0.182
"DSWP4171","6",0.1793
"DSWP4171","7",0.1731
"DSWP4171","8",0.1861
"DSWP4172","1",0.2375
"DSWP4172","2",0.248
"DSWP4172","3",0.2397
"DSWP4172","4",0.2826
"DSWP4173","1",0.2383
"DSWP4173","2",0.2522
"DSWP4173","3",0.2543
"DSWP4173","4",0.2867
"DSWP4175","1",0.2095
"DSWP4175","2",0.1811
"DSWP4175","3",0.1938
"DSWP4175","4",0.1782
"DSWP4175","5",0.1804
"DSWP4175","6",0.1838
"DSWP4175","7",0.1797
"DSWP4175","8",0.1948
"DSWP4176","1",0.2074
